,ID,File,Language,Dialect,Vernacular Title,Licence Type,Licence Version,CC Licence Link,Copyright Holder,Copyright Years,Translation by
26,aka,E:\Work\eBible\projects\aka\copr.htm,Asante Twi (Twi),Asante,Biblica® Wonhia ɛho kwamma nhoma Asante Twi Nkwa Asɛm™,by-sa,4.0,http://creativecommons.org/licenses/by-sa/4.0/,"Biblica, Inc.",copyright © 2020,"Translation by: Biblica, Inc."
39,amo,E:\Work\eBible\projects\amo\copr.htm,Timap (Amo),,Amo New Testament,by-sa,4.0,http://creativecommons.org/licenses/by-sa/4.0/,Door43 World Missions Community,copyright © 2020,"Translation by: AFenlason, ALHASSAN SUDA, Chrispher Ishaya, James, Kawusu David, Pungs Makarios, Zephaniah A. Isau, tab04-nig, tab12-nig"
60,arbnav,E:\Work\eBible\projects\arbnav\copr.htm,"العربية (Arabic, Standard)",,كتاب الحياة,by-sa,4.0,http://creativecommons.org/licenses/by-sa/4.0/,International Bible Society,"copyright © 1988, 1997",Translation by: International Bible Society
65,asmfb,E:\Work\eBible\projects\asmfb\copr.htm,অসমীয়া (Assamese),Standard,ইণ্ডিয়ান ৰিভাইচ ভাৰচন (IRV) আচামিচ - 2019,by-sa,4.0,http://creativecommons.org/licenses/by-sa/4.0/,Bridge Connectivity Solutions,"copyright © 2017, 2018",Translation by: Bridge Connectivity Solutions
93,ben2017,E:\Work\eBible\projects\ben2017\copr.htm,বাংলা (Bengali),,ইন্ডিয়ান রিভাইজড ভার্সন (IRV) - বেঙ্গলী,by-sa,4.0,http://creativecommons.org/licenses/by-sa/4.0/,Bridge Connectivity Solutions,copyright © 2017,Translation by: Bridge Connectivity Solutions
94,beo,E:\Work\eBible\projects\beo\copr.htm,Bedamuni (Beami),,,by-sa,4.0,http://creativecommons.org/licenses/by-sa/4.0/,,,Translation by: Tom Hoey
128,bsj,E:\Work\eBible\projects\bsj\copr.htm,Bangunji (Bangwinji),,Bangwinji,by-sa,4.0,http://creativecommons.org/licenses/by-sa/4.0/,Door43 Worldwide Mission Community,copyright © 2020,Translation by: Door43 Worldwide Mission Community
168,cebulb,E:\Work\eBible\projects\cebulb\copr.htm,Cebuano,,Balaan nga Bibliya,by-sa,4.0,http://creativecommons.org/licenses/by-sa/4.0/,Door43 World Missions Community,copyright © 2019,Translation by: Door43 World Missions Community
181,ckb,E:\Work\eBible\projects\ckb\copr.htm,كوردی سۆرانی (Central Kurdish),,Biblica® وەشانی بێبەرامبەری کوردیی سۆرانیی ستاندەر,by-sa,4.0,http://creativecommons.org/licenses/by-sa/4.0/,"Biblica, Inc.",copyright © 2020,"Translation by: Biblica, Inc."
187,cmnfeb,E:\Work\eBible\projects\cmnfeb\copr.htm,中國語文 (Chinese),,免费的易读圣经 Free Easy-to-read Bible,by-sa,4.0,http://creativecommons.org/licenses/by-sa/4.0/,"Free Bible Ministry, Inc.",copyright © 2022,
226,deu1951,E:\Work\eBible\projects\deu1951\copr.htm,"Deutsch (German, Standard)",,Die Schlachter-Bibel 1951,by,4.0,http://creativecommons.org/licenses/by/4.0/,Genfer Bibelgeschellschaft (Geneva Bible Society),copyright © 1951,Translation by: Franz-Eugen Schlachter
236,dji,E:\Work\eBible\projects\dji\copr.htm,Djinang,,Djinang Bible,by-sa,4.0,http://creativecommons.org/licenses/by-sa/4.0/,Wycliffe Bible Translators,copyright © 1985,
242,dov,E:\Work\eBible\projects\dov\copr.htm,Toka-Leya-Dombe (Dombe),,Dombe New Testament,by-sa,4.0,http://creativecommons.org/licenses/by-sa/4.0/,Door43 World Missions Community,copyright © 2020,"Translation by: DUBE MAKEYI S, Denis, Keepers, Smart, Leviticus, Lusyomo, David, Charles, Ian,Daimon, Gedion., ELEK, Faith, Leviticus Muleya, Lucy Ngosolo, Makeyi S Dube, Makeyi s dube, Muleya Nkondo, Purpoe Mumpande, Purpose, Richard, Stephen, Samson,Nkondo, Mackion, Elek, Wilson, Dickson, January, Betty, Stephen, TOM-88PN_0003.MACHINGA, iii9i, nkondo, onesai misioni, patricia banda, peaceful, purpoe, victor"
258,eng-t4t,E:\Work\eBible\projects\eng-t4t\copr.htm,English,American,Translation for Translators,by-sa,4.0,http://creativecommons.org/licenses/by-sa/4.0/,,,
269,engf35,E:\Work\eBible\projects\engf35\copr.htm,English,American,The New Testament with Commentary,by-sa,4.0,http://creativecommons.org/licenses/by-sa/4.0/,"Wilbur N. Pickering, ThM, PhD",copyright © 2016,
270,engfbv,E:\Work\eBible\projects\engfbv\copr.htm,English,American,Free Bible Version,by-sa,4.0,http://creativecommons.org/licenses/by-sa/4.0/,,,Translation by: Dr. Jonathan Gallagher
275,englsv,E:\Work\eBible\projects\englsv\copr.htm,English,American,,by-sa,4.0,http://creativecommons.org/licenses/by-sa/4.0/,Covenant Press,copyright © 2020,
282,engourb,E:\Work\eBible\projects\engourb\copr.htm,English,American,One Unity Resource Bible,by-sa,4.0,http://creativecommons.org/licenses/by-sa/4.0/,,,Translation by: Thomas Robinson
284,engtcent,E:\Work\eBible\projects\engtcent\copr.htm,English,,Text-Critical English New Testament,by,4.0,http://creativecommons.org/licenses/by/4.0/,,,
286,engULB,E:\Work\eBible\projects\engULB\copr.htm,English,,Unlocked Literal Bible,by-sa,4.0,http://creativecommons.org/licenses/by-sa/4.0/,Door43 World Missions Community,copyright © 2017,Translation by: Door43 World Missions Community
303,ewe,E:\Work\eBible\projects\ewe\copr.htm,eʋegbe,,Biblica® Se aɖeke mebla Biblia zazã o Agbenya La™,by-sa,4.0,http://creativecommons.org/licenses/by-sa/4.0/,"Biblica, Inc.",copyright © 2020,
311,francl,E:\Work\eBible\projects\francl\copr.htm,français (French),,,by-sa,4.0,http://creativecommons.org/licenses/by-sa/4.0/,CrossWire Bible Society,copyright © 2022,
348,guj2017,E:\Work\eBible\projects\guj2017\copr.htm,ગુજરાતી (Gujarati),,ગુજરાતી બાઇબલ,by-sa,4.0,http://creativecommons.org/licenses/by-sa/4.0/,Bridge Connectivity Solutions,copyright © 2017,
355,gux,E:\Work\eBible\projects\gux\copr.htm,Gourma (Gourmanchéma),Central,Bible Gourma,by,4.0,http://creativecommons.org/licenses/by/4.0/,Door 43 world-wide mission community,copyright © 2020,Translation by: Door 43 world-wide mission community
356,guxg,E:\Work\eBible\projects\guxg\copr.htm,Gourmantche (Gourmanchéma),Gormantche,Bible Gourmantche,by-sa,4.0,http://creativecommons.org/licenses/by-sa/4.0/,Door 43 world-wide mission community,copyright © 2020,Translation by: Door 43 world-wide mission community
365,hatbsa,E:\Work\eBible\projects\hatbsa\copr.htm,Kreyòl Ayisyen (Haitian),,Bib Sen An,by-sa,4.0,http://creativecommons.org/licenses/by-sa/4.0/,Ron Smith,copyright © 2017-2022,Translation by: Ron Smith
366,hausa,E:\Work\eBible\projects\hausa\copr.htm,Hausa,,"Biblica® Buɗaɗɗen Littafi Mai Tsarki, Sabon Rai Don Kowa™",by-sa,4.0,http://creativecommons.org/licenses/by-sa/4.0/,"Biblica, Inc.",copyright © 2020,
367,hauulb,E:\Work\eBible\projects\hauulb\copr.htm,Hausa,,Litafi Mai-tsarki,by-sa,4.0,http://creativecommons.org/licenses/by-sa/4.0/,Door43 World Missions Community,copyright © 2020,"Translation by: Alakirawa, Bayan, Chrispher Ishaya, Dabere, Dacuhus Timothy Danjuma, Danjay, Danjuma Alfred H, Euang Hediza Naohammed, Franklyn Ukazu Udochukwu, Gideon, Gokop, Habibu, James, Kiash Dachung Butus, Lazarus, Nadaki M. Philip, Nenching, Paul, Rebecca, Rev. Ayuba Taiba, Rev. Cain Yusuf Daniel, Rev. Dalhatu Dambo Ayuba, Rev. Dr. Tambanya Yahaya, Rev. Dr. Yakubu Hassan, Rev. Hannatu Samuel Ndberhukwu, Rev. Ibrahim Kassim, Rev. M. Dan'Amarya, Rev. Yakuba Ayuba"
374,hin2017,E:\Work\eBible\projects\hin2017\copr.htm,हिन्दी भाषा (Hindi),,पवित्र बाइबिल,by-sa,4.0,http://creativecommons.org/licenses/by-sa/4.0/,Bridge Connectivity Solutions,"copyright © 2017, 2018",Translation by: Bridge Connectivity Solutions
388,hun,E:\Work\eBible\projects\hun\copr.htm,Magyar,,"Biblica® Nyitott Újszövetség: élet, igazság és világosság",by-sa,4.0,http://creativecommons.org/licenses/by-sa/4.0/,"Biblica, Inc.",copyright © 2021,
398,iloulb,E:\Work\eBible\projects\iloulb\copr.htm,Ilocano,,Ti Biblia,by-sa,4.0,http://creativecommons.org/licenses/by-sa/4.0/,Door43 World Missions Community,copyright © 2019,Translation by: Door43 World Missions Community
402,indags,E:\Work\eBible\projects\indags\copr.htm,bahasa Indonesia (Indonesian),,Alkitab Gratis untuk Semua,by-sa,4.0,http://creativecommons.org/licenses/by-sa/4.0/,,,
406,isn,E:\Work\eBible\projects\isn\copr.htm,Kiisanzu (Isanzu),,Isanzu Bible,by-sa,4.0,http://creativecommons.org/licenses/by-sa/4.0/,Door 43 International Mission Community,copyright © 2020,Translation by: Door 43 International Mission Community
416,jid,E:\Work\eBible\projects\jid\copr.htm,Jida (Bu),,Bu New Testament,by-sa,4.0,http://creativecommons.org/licenses/by-sa/4.0/,Door43 World Missions Community,copyright © 2020,Translation by: Door43 World Missions Community
418,jni,E:\Work\eBible\projects\jni\copr.htm,Ajanji (Janji),,Janji Bible,by-sa,4.0,http://creativecommons.org/licenses/by-sa/4.0/,Door 43 International Mission Community,copyright © 2020,Translation by: Door 43 International Mission Community
421,kan2017,E:\Work\eBible\projects\kan2017\copr.htm,ಕನ್ನಡ (Kannada),,ಇಂಡಿಯನ್ ರಿವೈಜ್ಡ್ ವರ್ಸನ್ (IRV) - ಕನ್ನಡ - 2019,by-sa,4.0,http://creativecommons.org/licenses/by-sa/4.0/,Bridge Connectivity Solutions,copyright © 2017,Translation by: Bridge Connectivity Solutions
426,kbq,E:\Work\eBible\projects\kbq\copr.htm,Kamano-Kafe (Kamano),,,by-sa,4.0,http://creativecommons.org/licenses/by-sa/4.0/,Tyndale Bible Translators,copyright © 2022,Translation by: Tyndale Bible Translators
438,kik,E:\Work\eBible\projects\kik\copr.htm,Kikuyu (Gikuyu),,Biblica® Kiugo Gĩtheru Kĩa Ngai Kĩhingũre,by-sa,4.0,http://creativecommons.org/licenses/by-sa/4.0/,"Biblica, Inc.",copyright © 2013,
440,kiz,E:\Work\eBible\projects\kiz\copr.htm,Kese (Kisi),,Kisi Bible,by-sa,4.0,http://creativecommons.org/licenses/by-sa/4.0/,Door 43 International Mission Community,copyright © 2020,Translation by: Door 43 International Mission Community
506,lin,E:\Work\eBible\projects\lin\copr.htm,Lingála,,Biblica® Salela na bonsomi Mokanda na Bomoi™,by-sa,4.0,http://creativecommons.org/licenses/by-sa/4.0/,"Biblica, Inc.",copyright © 2020,
507,lit,E:\Work\eBible\projects\lit\copr.htm,lietuvių (Lithuanian),,Tikinčiųjų paveldo vertimas,by-sa,4.0,https://creativecommons.org/licenses/by-sa/4.0/,,,
509,lug,E:\Work\eBible\projects\lug\copr.htm,Luganda,,"Biblica® Bayibuli Entukuvu, Endagaano Enkadde nʼEndagaano Empya ekwatiddwa ku katambi™",by-sa,4.0,http://creativecommons.org/licenses/by-sa/4.0/,"Biblica, Inc.",copyright © 2017,
510,luo,E:\Work\eBible\projects\luo\copr.htm,Dholuo,,Biblica® Ochiw Thuolo Motingʼo Loko Manyien™,by-sa,4.0,http://creativecommons.org/licenses/by-sa/4.0/,"Biblica, Inc.",copyright © 2020,"Translation by: Biblica, Inc."
514,mal,E:\Work\eBible\projects\mal\copr.htm,മലയാളം (Malayalam),,മലയാളം ബൈബിള്‍,by-sa,4.0,http://creativecommons.org/licenses/by-sa/4.0/,Bridge Communication Systems,copyright © 2017,
515,malc,E:\Work\eBible\projects\malc\copr.htm,മലയാളം,,Biblica® സ്വതന്ത്രം സമകാലിക മലയാളവിവർത്തനം 2020,by-sa,4.0,http://creativecommons.org/licenses/by-sa/4.0/,"Biblica, Inc.",copyright © 2021,
519,mar,E:\Work\eBible\projects\mar\copr.htm,मराठी (Marathi),,इंडियन रीवाइज्ड वर्जन (IRV) - मराठी,by-sa,4.0,http://creativecommons.org/licenses/by-sa/4.0/,Bridge Connectivity Solutions,copyright © 2017,
620,ndg,E:\Work\eBible\projects\ndg\copr.htm,Kindengereko (Ndengereko),,Ndengereko Bible,by,4.0,http://creativecommons.org/licenses/by/4.0/,Door43 World Mission Community,copyright © 2020,Translation by: Door43 World Mission Community
648,npiulb,E:\Work\eBible\projects\npiulb\copr.htm,नेपाली (Nepali),,पवित्र बाइबल,by-sa,4.0,http://creativecommons.org/licenses/by-sa/4.0/,Door43 World Missions Community,copyright © 2019,Translation by: Door43 World Missions Community
658,nya,E:\Work\eBible\projects\nya\copr.htm,Chichewa,,Biblica® Tsekulani Mawu a Mulungu mu Chichewa Chalero,by-sa,4.0,http://creativecommons.org/licenses/by-sa/4.0/,"Biblica, Inc.",copyright © 2016,
671,ory,E:\Work\eBible\projects\ory\copr.htm,ଓଡ଼ିଆ‎ (Oriya),,ଓଡିଆ ବାଇବେଲ,by-sa,4.0,http://creativecommons.org/licenses/by-sa/4.0/,Bridge Connectivity Solutions,copyright © 2017,
680,pan,E:\Work\eBible\projects\pan\copr.htm,"ਪੰਜਾਬੀ (Panjabi, Eastern)",,ਇੰਡਿਅਨ ਰਿਵਾਇਜ਼ਡ ਵਰਜ਼ਨ (IRV) - ਪੰਜਾਬੀ,by-sa,4.0,http://creativecommons.org/licenses/by-sa/4.0/,Bridge Connectivity Solutions,copyright © 2017,
694,polsz,E:\Work\eBible\projects\polsz\copr.htm,Polski,,"Biblica® Słowo Życia, otwarty dostęp",by-sa,4.0,http://creativecommons.org/licenses/by-sa/4.0/,"Biblica, Inc.",copyright © 2016,
700,porblt,E:\Work\eBible\projects\porblt\copr.htm,Português,Brasil,Biblia Livre Para Todos,by-sa,4.0,http://creativecommons.org/licenses/by-sa/4.0/,"Free Bible Ministry, Inc.",copyright © 2022,
701,porbr2018,E:\Work\eBible\projects\porbr2018\copr.htm,Português (Portuguese),Brasil,Bíblia Livre,by,3.0/br,http://creativecommons.org/licenses/by/3.0/br/,"Diego Santos, Mario Sérgio, e Marco Teles",copyright © 2018,
703,portft,E:\Work\eBible\projects\portft\copr.htm,portugues (Portuguese),Brasil,"A Bíblia Sagrada, Tradução para Tradutores",by-sa,4.0,http://creativecommons.org/licenses/by-sa/4.0/,,,"Translation by: Ellis W. Deibler, Jr."
731,reg,E:\Work\eBible\projects\reg\copr.htm,Kikara (Kara),,Kara Bible,by-sa,4.0,http://creativecommons.org/licenses/by-sa/4.0/,Door43 World Missions Community,copyright © 2020,Translation by: Door43 World Missions Community
736,rmyArli,E:\Work\eBible\projects\rmyArli\copr.htm,"Arli (Romani, Vlax)",Arli,Luka,by,4.0,http://creativecommons.org/licenses/by/4.0/,,,
737,rmyChergash,E:\Work\eBible\projects\rmyChergash\copr.htm,"Chergash (Romani, Vlax)",Chergash,Luka,by,4.0,http://creativecommons.org/licenses/by/4.0/,Pioneers,copyright © 2018,Translation by: Pioneers
738,rmyGurbet,E:\Work\eBible\projects\rmyGurbet\copr.htm,"Gurbet (Romani, Vlax)",Gurbet,Lačho lafi taro Luka,by,4.0,http://creativecommons.org/licenses/by/4.0/,Pioneers,copyright © 2018,Translation by: Pioneers
